Security;summary;description
0;Add support for insert functionality using JDBC . updatable resultset apis   ;The JDBC . API introduced the ability to updatedeleteinsert rows from a resultset using methods in the Java programming language rather than having to send an SQL command. This Jira entry is to track the insert rows functionality using JDBC . apis.   
0;[PATCH] Improvements on the NetServlet   ;Hi all I did some minor enhancements on the Net Servlet changed Cloudscape to Derby in the in bundles added pt_BT to know languages the bundle was already there  but the language was not set at the .java)  improved use of tracingDirectory initparameter is now used it was documented but not used before) current value is shown when the user try to change it improved function that handles the request locale for instance  mozilla uses a  instead of _ to separate the country from language) shows on the screen which port the server is running on added a new SRV_POrtNumber message key for such infoSo  Im sending a trunk patch with such changes.  Felipe   
0;Suite jdk is skipped incorrectly with JSE .   ;Since JSE . is a super set of JDK .  and JDK. tests should run in JSE.   
0;Derby incorrectly rounds double values down during insert into NUMERIC   ;When inserting a double value into a field defined as NUMERICa b) using PreparedStatement.setDouble)  Derby may incorrectly round the number down. For example  a NUMERIC ) field with a double  . ends up with a value of . in the database. This works fine in Oracle and other databases.The problem occurs because double cannot represent . exactly  so the actual value is .... SQLDecimal.setCoreValue uses BigDecimaldouble) which constructs a BigDecimal of .... and then SQLDecimal.setWidth uses value.setScaledesiredScale  BigDecimal.ROUND_DOWN)  Note that BigDecimal javadoc recommends that the double constructor be avoided for this reason.One fix appears to be to change SQLDecimal.setCoreValuedouble) to avoid using the double constructor of BigDecimal. Using Double.toString) and BigDecimalString) looks as if it would work as expected  because Double.toString) has special rounding abilities and converts .... back to ..   
0;Aliased Columns not recognized after group by... order by combination   ;Ive been doing work to try and integrate Derby with the Mondrian ROLAP engine  which has uncovered a bug in Derby when a query involves column aliasing  a group by clause  and an order by clause.For example Mondrian will generate the following queryselect STORE.STORE_COUNTRY as c  STORE.STORE_STATE as c  STORE.STORE_CITY as c  STORE.STORE_NAME as c  STORE.STORE_TYPE as c  STORE.STORE_MANAGER as c  STORE.STORE_SQFT as c  STORE.GROCERY_SQFT as c  STORE.FROZEN_SQFT as c  STORE.MEAT_SQFT as c  STORE.COFFEE_BAR as c  STORE.STORE_STREET_ADDRESS as c from STORE as STORE group by STORE.STORE_COUNTRY  STORE.STORE_STATE  STORE.STORE_CITY  STORE.STORE_NAME  STORE.STORE_TYPE  STORE.STORE_MANAGER  STORE.STORE_SQFT  STORE.GROCERY_SQFT  STORE.FROZEN_SQFT  STORE.MEAT_SQFT  STORE.COFFEE_BAR  STORE.STORE_STREET_ADDRESS order by STORE.STORE_COUNTRY  STORE.STORE_STATE  STORE.STORE_CITY  STORE.STORE_NAMEwhich should be valid SQL. I have tested this query outside of the Mondrian environment and still receive the same error which isColumn STORE.STORE_COUNTRY is not in any table in the FROM list or it appears within a join specification and is outside the scope of the join specification or it appears in a HAVING clause and is not in the GROUP BY list.SQL State xError Code However  if I remove any one of the three elements aliasing  group by  order by) or if the order by uses the aliased names  the query works. It is only the combination of all  elements that is causing a problem. ie. all of the following queries work correctly select STORE.STORE_COUNTRY   STORE.STORE_STATE   STORE.STORE_CITY   STORE.STORE_NAME   STORE.STORE_TYPE   STORE.STORE_MANAGER   STORE.STORE_SQFT   STORE.GROCERY_SQFT   STORE.FROZEN_SQFT   STORE.MEAT_SQFT   STORE.COFFEE_BAR   STORE.STORE_STREET_ADDRESS from STORE as STORE group by STORE.STORE_COUNTRY  STORE.STORE_STATE  STORE.STORE_CITY  STORE.STORE_NAME  STORE.STORE_TYPE  STORE.STORE_MANAGER  STORE.STORE_SQFT  STORE.GROCERY_SQFT  STORE.FROZEN_SQFT  STORE.MEAT_SQFT  STORE.COFFEE_BAR  STORE.STORE_STREET_ADDRESS order by STORE.STORE_COUNTRY  STORE.STORE_STATE  STORE.STORE_CITY  STORE.STORE_NAMEselect STORE.STORE_COUNTRY as c  STORE.STORE_STATE as c  STORE.STORE_CITY as c  STORE.STORE_NAME as c  STORE.STORE_TYPE as c  STORE.STORE_MANAGER as c  STORE.STORE_SQFT as c  STORE.GROCERY_SQFT as c  STORE.FROZEN_SQFT as c  STORE.MEAT_SQFT as c  STORE.COFFEE_BAR as c  STORE.STORE_STREET_ADDRESS as c from STORE as STORE group by STORE.STORE_COUNTRY  STORE.STORE_STATE  STORE.STORE_CITY  STORE.STORE_NAME  STORE.STORE_TYPE  STORE.STORE_MANAGER  STORE.STORE_SQFT  STORE.GROCERY_SQFT  STORE.FROZEN_SQFT  STORE.MEAT_SQFT  STORE.COFFEE_BAR  STORE.STORE_STREET_ADDRESSselect STORE.STORE_COUNTRY as c  STORE.STORE_STATE as c  STORE.STORE_CITY as c  STORE.STORE_NAME as c  STORE.STORE_TYPE as c  STORE.STORE_MANAGER as c  STORE.STORE_SQFT as c  STORE.GROCERY_SQFT as c  STORE.FROZEN_SQFT as c  STORE.MEAT_SQFT as c  STORE.COFFEE_BAR as c  STORE.STORE_STREET_ADDRESS as c from STORE as STORE order by STORE.STORE_COUNTRY  STORE.STORE_STATE  STORE.STORE_CITY  STORE.STORE_NAMEselect STORE.STORE_COUNTRY as c  STORE.STORE_STATE as c  STORE.STORE_CITY as c  STORE.STORE_NAME as c  STORE.STORE_TYPE as c  STORE.STORE_MANAGER as c  STORE.STORE_SQFT as c  STORE.GROCERY_SQFT as c  STORE.FROZEN_SQFT as c  STORE.MEAT_SQFT as c  STORE.COFFEE_BAR as c  STORE.STORE_STREET_ADDRESS as c from STORE as STORE group by STORE.STORE_COUNTRY  STORE.STORE_STATE  STORE.STORE_CITY  STORE.STORE_NAME  STORE.STORE_TYPE  STORE.STORE_MANAGER  STORE.STORE_SQFT  STORE.GROCERY_SQFT  STORE.FROZEN_SQFT  STORE.MEAT_SQFT  STORE.COFFEE_BAR  STORE.STORE_STREET_ADDRESS order by c c c c   
0;Network Server Gives NPE if SQLException has null arguments   e.g. for ERROR XBMH)   ;Network server  Network Server throws an NPE because one of the arguments of the SQLException is null. It shouldnt do so.To reproduce try to create a database in the root directory on Linux. Do not run in security manager. The trace below came from an extra  in the url in NSinSameJVM.javaThe issues are Network Server throws an NPE because one of the arguments of the SQLException is null in this code. It shouldnt do so. arguments are variable part of a message Object[] args  ce.getArguments  for int i    args  null amp amp  i lt  args.length  i sqlerrmc  args i .toString  separator  This exception seems to have null arguments which doesnt seem right. ERROR XBMH Directory NSinSameJVMTestDB cannot be created.ERROR XBMH Directory NSinSameJVMTestDB cannot be created. at org.apache.derby.iapi.error.StandardException.newExceptionStandardException.java at org.apache.derby.impl.services.monitor.PersistentServiceImpl.runPersistentServiceImpl.java at java.security.AccessController.doPrivilegedNative Method at org.apache.derby.impl.services.monitor.PersistentServiceImpl.createServiceRootPersistentServiceImpl.java at org.apache.derby.impl.services.monitor.BaseMonitor.bootServiceBaseMonitor.java at org.apache.derby.impl.services.monitor.BaseMonitor.createPersistentServiceBaseMonitor.java at org.apache.derby.iapi.services.monitor.Monitor.createPersistentServiceMonitor.java at org.apache.derby.impl.jdbc.EmbedConnection.createDatabaseEmbedConnection.java at org.apache.derby.impl.jdbc.EmbedConnection.lt initgt EmbedConnection.java at org.apache.derby.impl.jdbc.EmbedConnection.lt initgt EmbedConnection.java at org.apache.derby.impl.jdbc.EmbedConnection.lt initgt EmbedConnection.java at org.apache.derby.jdbc.Driver.getNewEmbedConnectionDriver.java at org.apache.derby.jdbc.Driver.connectDriver.java at org.apache.derby.impl.drda.Database.makeConnectionDatabase.java at org.apache.derby.impl.drda.DRDAConnThread.getConnFromDatabaseNameDRDAConnThread.java at org.apache.derby.impl.drda.DRDAConnThread.verifyUserIdPasswordDRDAConnThread.java at org.apache.derby.impl.drda.DRDAConnThread.parseSECCHKDRDAConnThread.java at org.apache.derby.impl.drda.DRDAConnThread.parseDRDAConnectionDRDAConnThread.java at org.apache.derby.impl.drda.DRDAConnThread.exchangeServerAttributesDRDAConnThread.java at org.apache.derby.impl.drda.DRDAConnThread.sessionInitialStateDRDAConnThread.java at org.apache.derby.impl.drda.DRDAConnThread.runDRDAConnThread.javaCleanup action completed . GMT Thread DRDAConnThread_  derby.daemons  DATABASE  NSinSameJVMTestDB  DRDAID  }  Failed to create database NSinSameJVMTestDB  see the next exception for details. . GMT Thread DRDAConnThread_  derby.daemons  DATABASE  NSinSameJVMTestDB  DRDAID  }  Directory NSinSameJVMTestDB cannot be created. . GMT Thread DRDAConnThread_  derby.daemons  DATABASE  NSinSameJVMTestDB  DRDAID  NF.AFB}  Failed to create database NSinSameJVMTestDB  see the next exception for details. . GMT Thread DRDAConnThread_  derby.daemons  DATABASE  NSinSameJVMTestDB  DRDAID  NF.AFB}  nullnulljava.lang.NullPointerException at org.apache.derby.impl.drda.DRDAConnThread.writeSQLCAGRPDRDAConnThread.java at org.apache.derby.impl.drda.DRDAConnThread.writeSQLCARDDRDAConnThread.java at org.apache.derby.impl.drda.DRDAConnThread.parseDRDAConnectionDRDAConnThread.java at org.apache.derby.impl.drda.DRDAConnThread.exchangeServerAttributesDRDAConnThread.java at org.apache.derby.impl.drda.DRDAConnThread.sessionInitialStateDRDAConnThread.java at org.apache.derby.impl.drda.DRDAConnThread.runDRDAConnThread.javanulljava.lang.NullPointerException at org.apache.derby.impl.drda.DRDAConnThread.writeSQLCAGRPDRDAConnThread.java at org.apache.derby.impl.drda.DRDAConnThread.writeSQLCARDDRDAConnThread.java at org.apache.derby.impl.drda.DRDAConnThread.parseDRDAConnectionDRDAConnThread.java at org.apache.derby.impl.drda.DRDAConnThread.exchangeServerAttributesDRDAConnThread.java at org.apache.derby.impl.drda.DRDAConnThread.sessionInitialStateDRDAConnThread.java at org.apache.derby.impl.drda.DRDAConnThread.runDRDAConnThread.java   
0;Derby should throw a truncation error or warning when CASTing a parameterconstant to char or char for bit datatypes and the data is too large for the datatype.   ;Derby doesnt throw a truncation exceptionwarning when data is too large during casting of constants or parameters to character string or bit string data types. Following is ij example for constants which is too big for the datatype it is getting cast toijgt  values cast hello as char))) hel row selectedijgt  values cast X as char) for bit data))  row selectedFollowing code snippet is when using parameters through a JDBC program s.executeUpdatecreate table ct c CLOBK)))  the following Formatters just loads cData with  c characters String cData  org.apache.derbyTesting.functionTests.util.Formatters.repeatCharc )  notice that ? in the preared statement below is bound to length  pSt  con.prepareStatementinsert into ct values cast ? as varchar))))  pSt.setString  cData)  Derby doesnt throw an exception at ps.execute time for  characters into  parameter. It silently truncates it to  pSt.execute)    
0;in place tableindex compress which returns space to OS   ;Each derby table or index is stored in a separate file. Space fromdeleted rows is eventually reclaimed within the file as is used forsubsequent inserts into the same file. That space is not returned tothe OS unless the user calls the SYSCS_UTIL.SYSCS_COMPRESS_TABLEsystem procedure. That procedure will return the unused space inthe tables and indexes to the OS. It gets an exclusive lock on thetable  copies all rows in the indexes and the base table into newcompressed files and delete the old files. Prior to jdk . this wasthe only way to return space from a file to the OS.In jdk . RandomAccessFile was enhanced to allow the truncation of afile  which would return the space at the end of the file back tothe OS. In order to take advantage of this new feature a newcompress feature is needed in derby.The assumption is that this work will be used in future work which willautomatically schedule this job and others in background  with nointeraction needed from the dba. The st phase of this work willsimply build a procedure that will do the work. The nd phase willbe to look into scheduling the procedure automatically as part ofthe current background post commit processing. Longer term it wouldbe best if this fit into a new background task monitor  which couldschedule larger background tasks balanced against the other prioritiesof the system. These tasks might include this new online compress automatic statistics gathering  more proactive deleted row reclamation  ....The proposed feature will reorganize base tables and indexes  movingempty pages to the end. It will release space back to the operatingsystem when it has created a chunk of empty pages at the end of thefile. It will be designed to run in background  and will lock resourcesof the table for as short a time as possible so that it can iterativelyprocess the table.To reclaim space in the heap  it will scan the heap in page reverse order.It will get a short term table lock  process all the rows on a page  andthen commit that transaction releasing the lock. The commit will beoptimized like other internal transactions  and will not need to waitfor a synchonized write. Each row moved  will require all the indexentries for that row to also be updated. While doing the processing itwill also take care of processing committed deleted rows. When spaceis free at the end of the table it will be freed back to the operatingsystem  using the RandomAccessFile.setLength) interface.To reclaim space in the btree  data on pages will be moved rather thanrows. Data from pages at the end of the file will be moved to freesmaller numbered pages. Again short term table locks will be required and the operation will look similar to the current btree merge operationsalready implemented. Again when a chunk of pages is free at the end ofthe file  they will be returned to the OS using the same mechanism asthe heap.   
0;Bad Eclipse plugin version specification   ;In the plugin.xml of the Derby Eclipse plugin  the version specification reads ... )  which Eclipse complains about as being illegal. In consequence  the plugin is not loaded.The Eclipse docs have the following to say about the version specification Plugin version format is major.minor.service.qualifier.Stripping the )  whatever that is anyway  solves the problem.   
0;Inserting values in an identity column   ;It is not possible to insert a specific value in a column defined as identity. This makes it very hard to migrate from other RDBMSs or to import data dumped from other databases. For example  an autoincrement column in MySQL should be an identity column. The problem is that when the data is dumped from MySQL to a file  it generates inserts with values. These values cant be inserted in the Derby table. Posible solutions . being able to generate by default as identity . being able to disable the identity feature for a column . being able to generate a column as non identity and after data is populated  alter table to add the identity to the column.   
0;For the concurrency of ResultSet  Network Server should not send the concurrency of Statement.   ;I am working on getting updatable resulset functionality to work under Network Server. One issue that I found is Network Server sends the concurrency of the Statement object when it really needs to send the concurrency of the Resultset. This was ok in the past because CONCUR_READ_ONLY was the only concurreny supported by Derby. But  now with the support of CONCUR_UPDATABLE  it is possible that the concurrency of ResultSet might not be same as the Statement object. Hence  Network Server should send the concurrency of the ResultSet object if that is what the protocol calls for.The fix for this is localized in javadrdaorgapachederbyimpldrdaDRDAConnThread.java.   
0;setNull does not work with java.sql.Types.TIMESTAMP   ;Calling setNullx java.sql.Types.TIMESTAMP) throws an exception with the following message. x is the column number)Message is  An attempt was made to get a data value of type TIMESTAMP from a data value of type null.   
0;Parameter names required in CREATE FUNCTION   ;A statement like create function s.f char)  integer) returns int language java parameter style java external name myclass.mymethodfails with the message ERROR X Syntax error Encountered char at line   column However create function s.f p char)  p integer) returns int language java parameter style java external name myclass.mymethodis accepted.The Derby documentation at httpincubator.apache.orgderbymanualsreferencesqlj.htmlCREATEPROCEDUREStatement)  the SQL standard  and DB all agree that the parameter name is optional.   
0;List of jar files in toolsjava incorrect in BUILDING.txt   ;Section  of BUILDING.txt describes how to obtain JDK .  JDK .  JDBC . extensions  JCE  OSGI. But then it says you should have the following jarsderby.source}toolsjavajavacc.jarderby.source}toolsjavajakartaoro...jarderby.source}toolsjavajce__.jarderby.source}toolsjavajdbc_stdext.jarderby.source}toolsjavajta__Bclasses.zipderby.source}toolsjavaservlet.jarderby.source}toolsjavaosgi.jarActually  what you have is the followingempty.jargeronimospecjta..Brc.jargeronimospecservlet.rc.jarjakartaoro...jarjavacc.jarjce__.jarjdbc_stdext.jarosgi.jarI am providing a patch with this correction.   
0;isFirst) returns true when relativex) goes beyond result set   ;Bizarre error. Not sure if this is a JDBC  Derby  or Java issue.An opened result set has  records. A call to relative while on row  should result in isAfterLasttrue  and isFirst  isBeforeFirst  and IsLast set to false. However  the result is isAfterLastTrue and isFirstTrue.ij connect IsAfter createtrue create table x a char  insert into x values     quit import java.sql.*  public class ErrIsFirst  public static void mainString argv[] throws SQLException  Connection conn  null  Statement s  null  ResultSet rs  null  String DerbyDriver  org.apache.derby.jdbc.EmbeddedDriver  String returnValue  try  Class.forNameDerbyDriver.newInstance  } catch Exception NoDriver  System.out.printlnDerby driver not found   DerbyDriver  NoDriver.printStackTrace  System.exit  } try  conn  DriverManager.getConnectionjdbcderbyIsAfter  s  conn.createStatementResultSet.TYPE_SCROLL_INSENSITIVE ResultSet.CONCUR_READ_ONLY  rs  s.executeQuery SELECT A FROM X  rs.next   First Record returnValue  rs.getStringA  System.out.printlnValuereturnValue  rs.relative  System.out.printlnisFirst  rs.isFirst   isLast  rs.isLast   isAfterLast  rs.isAfterLast  returnValue  rs.getStringA  System.out.printlnValuereturnValue  rs.relative  returnValue  rs.getStringA  System.out.printlnValuereturnValue  rs.relative  System.out.printlnisFirst  rs.isFirst   isLast  rs.isLast   isAfterLast  rs.isAfterLast  returnValue  rs.getStringA  System.out.printlnValuereturnValue  rs.close  s.close  } catch SQLException se  String SQLState  se.getSQLState  String SQLMessage  se.getMessage  System.out.printlnError  SQLState  System.out.printlnSQLMessage  } }}The results on my system areValueisFirstfalse isLastfalse isAfterLastfalseValueValueisFirsttrue isLastfalse isAfterLasttrueError  Invalid cursor state  no current row.If you eliminate the first println call to isFirst you get the following correct results.ValueValueValueisFirstfalse isLastfalse isAfterLasttrueError  Invalid cursor state  no current row.Okay  so where did we go wrong?   
1;Add Support for network Server USRIDONL security   ;Currently Network Server supports only two security mechanisms.User ID and password usridpwd)User ID and encrypted password eusridpwd)It would be good to add support for User ID Only security so that it could more closely match the embedded driver and not always require a password.See details of security mechanism implementations in section ... of DRDA V Vol.  Distributed Relational Database Architecture httpwww.opengroup.orgdbiop   
0;setNullx JDBCType.DATE) does not work when batching is turned on   ;Trying to execute batch on which setNullx DATE) was called gives the following exceptionSQL Exception An attempt was made to get a data value of type DATE from a data value of type null. at org.apache.derby.impl.jdbc.Util.newEmbedSQLExceptionUtil.java) at org.apache.derby.impl.jdbc.Util.newEmbedSQLExceptionUtil.java) at org.apache.derby.impl.jdbc.Util.generateCsSQLExceptionUtil.java) at org.apache.derby.impl.jdbc.EmbedConnection.newSQLExceptionEmbedConnection.java) at org.apache.derby.impl.jdbc.ConnectionChild.newSQLExceptionConnectionChild.java) at org.apache.derby.impl.jdbc.EmbedPreparedStatement.dataTypeConversionEmbedPreparedStatement.java) at org.apache.derby.impl.jdbc.EmbedPreparedStatement.setObjectEmbedPreparedStatement.java) at org.apache.derby.iapi.types.DataType.setIntoDataType.java) at org.apache.derby.impl.jdbc.EmbedPreparedStatement.executeBatchElementEmbedPreparedStatement.java) at org.apache.derby.impl.jdbc.EmbedStatement.executeBatchEmbedStatement.java) at net.sf.hibernate.impl.BatchingBatcher.doExecuteBatchBatchingBatcher.java)DATE column is nullable in db schema  so it should pass there ok. I believe the problem is in org.apache.derby.iapi.types.SQLDate  which does not implement setInto method  so DataType.setInto method is executed  calling setObjectx null). setObject thinks this is JDBC spec violation and fails on exception.Problem exists in both ... and ...   
0;Optimize some specific methods in Network Server to improve performance   ;In reviewing the Network Server Code and profiling there were several areas that showed potential for providing performance improvement.Functions that need optimizing to prevent unneeded object creation and excessive decodingparsePKGNAMCSN)parseSQLDTA_work)buildDBCursorName)In DDMWriter and DDMReader  use System Routines in java.util.Arrays and System.arrayCopy instead of writing code to do functions like copy arrays and pad strings.   
0;Javadoc build should include a timestamp andor the svn revision number in a visible location.   ;In order to easily identify when a specific set of javadoc was built  and from what source  it would be useful to include a timestamp andor the svn revision number at the time the javadoc is built. The footer is an excellent location to place this information  as it is visible on every generated page.   
0;Column names on ResultSet.updateXXX and getXXX methods are handled incorrectly   ;Sections .. and  ..  of JDBC . spec sayColumn names supplied to getter  updater  methods are case insensitive. If a select listcontains the same column more than once  the first instance of the column will bereturned  updated .Derby returns or updates the last column in the select list  not the first. With the attached Java class I seePREUPDATE POSTUPDATE POSTUPDATE getXXXname)AB ab   
0;Schema already exists when creating a table   ;When running a multithreaded program where several threads in parallell create tables in a schema that is not explicitly created  one often get the following exceptionERROR XY Schema TESTSCHEMA already exists. at org.apache.derby.iapi.error.StandardException.newExceptionStandardException.java) at org.apache.derby.impl.sql.catalog.DataDictionaryImpl.duplicateDescriptorExceptionDataDictionaryImpl.java) at org.apache.derby.impl.sql.catalog.DataDictionaryImpl.addDescriptorNowDataDictionaryImpl.java) at org.apache.derby.impl.sql.catalog.DataDictionaryImpl.addDescriptorDataDictionaryImpl.java) at org.apache.derby.impl.sql.execute.CreateSchemaConstantAction.executeConstantActionCreateSchemaConstantAction.java) at org.apache.derby.impl.sql.execute.DDLConstantAction.getSchemaDescriptorForCreateUnknown Source) at org.apache.derby.impl.sql.execute.CreateTableConstantAction.executeConstantActionCreateTableConstantAction.java) at org.apache.derby.impl.sql.execute.MiscResultSet.openMiscResultSet.java) at org.apache.derby.impl.sql.GenericPreparedStatement.executeGenericPreparedStatement.java) at org.apache.derby.impl.jdbc.EmbedStatement.executeStatementEmbedStatement.java) at org.apache.derby.impl.jdbc.EmbedStatement.executeEmbedStatement.java) at org.apache.derby.impl.jdbc.EmbedStatement.executeEmbedStatement.java) at derbytest.MainCreateTable.runMain.java) at java.lang.Thread.runThread.java)A program that reproduces this bug will be attached.   
