Security;summary   ;description   
0;NullPointerException in CXF routes when there is an endpoint between router and service CXF endpoints   ;When an endpoint is added between a cxf router and a cxf service endpoint the message exchange is interrupted by a NullPointerException Example code  JAVABEGINThis code worksfrom StringUtils join cxfRouterURI   to StringUtils join cxfServiceURI     This code crashes  same problem with seda and log endpoints String anyEndpoint   'activemq  someQueue' JAVAENDfrom StringUtils join cxfRouterURI   to anyEndpoint  to StringUtils join cxfServiceURI    EXCEPTIONBEGIN      org apache cxf phase PhaseInterceptorChain doInterceptINFO   Interceptor has thrown exception  unwinding noworg apache cxf interceptor Fault at org apache camel component cxf interceptors RawMessageContentRedirectInterceptor handleMessage RawMessageContentRedirectInterceptor java    at org apache cxf phase PhaseInterceptorChain doIntercept PhaseInterceptorChain java    at org apache camel component cxf invoker CxfClient invokeWithMessageStream CxfClient java    at org apache camel component cxf invoker CxfClient dispatch CxfClient java    at org apache camel component cxf CxfProducer process CxfProducer java    at org apache camel component cxf CxfProducer process CxfProducer java    at org apache camel impl converter AsyncProcessorTypeConverter$ProcessorToAsynProcessorBridge process AsyncProcessorTypeConverter java    at org apache camel processor SendProcessor process SendProcessor java    at org apache camel processor DeadLetterChannel process DeadLetterChannel java    at org apache camel processor DeadLetterChannel process DeadLetterChannel java    at org apache camel processor Pipeline process Pipeline java    at org apache camel processor Pipeline process Pipeline java    at org apache camel processor UnitOfWorkProcessor process UnitOfWorkProcessor java    at org apache camel util AsyncProcessorHelper process AsyncProcessorHelper java    at org apache camel processor DelegateAsyncProcessor process DelegateAsyncProcessor java    at org apache camel component cxf CamelInvoker invoke CamelInvoker java    at org apache camel component cxf interceptors AbstractInvokerInterceptor handleMessage AbstractInvokerInterceptor java    at org apache cxf phase PhaseInterceptorChain doIntercept PhaseInterceptorChain java    at org apache camel component cxf CxfMessageObserver onMessage CxfMessageObserver java    at org apache cxf transport http_jetty JettyHTTPDestination serviceRequest JettyHTTPDestination java    at org apache cxf transport http_jetty JettyHTTPDestination doService JettyHTTPDestination java    at org apache cxf transport http_jetty JettyHTTPHandler handle JettyHTTPHandler java    at org mortbay jetty handler ContextHandler handle ContextHandler java    at org mortbay jetty handler ContextHandlerCollection handle ContextHandlerCollection java    at org mortbay jetty handler HandlerWrapper handle HandlerWrapper java    at org mortbay jetty Server handle Server java    at org mortbay jetty HttpConnection handleRequest HttpConnection java    at org mortbay jetty HttpConnection$RequestHandler content HttpConnection java    at org mortbay jetty HttpParser parseNext HttpParser java    at org mortbay jetty HttpParser parseAvailable HttpParser java    at org mortbay jetty HttpConnection handle HttpConnection java    at org mortbay io nio SelectChannelEndPoint run SelectChannelEndPoint java    at org mortbay thread BoundedThreadPool$PoolThread run BoundedThreadPool java   Caused by   java lang NullPointerException at org apache commons io IOUtils copyLarge IOUtils java    at org apache commons io IOUtils copy IOUtils java    at org apache camel component cxf interceptors RawMessageContentRedirectInterceptor handleMessage RawMessageContentRedirectInterceptor java         more EXCEPTIONENDKnown workaround  Change the code like this  JAVABEGIN String anyEndpoint   'activemq  someQueue'  from StringUtils join cxfRouterURI   process new Processor    public void process Exchange exchange  throws Exception   exchange setOut exchange getIn          to anyEndpoint  to StringUtils join cxfServiceURI   JAVAEND   
0;support to set the aggregation stragey of multicastProcessor   ;I have a use case   the router configuration could like this from 'direct  a'  multicast   to 'direct  x'  'direct  y'  'direct  z'    from 'direct  x'  process new AppendingProcessor 'x'   to 'direct  aggregater'   from 'direct  y'  process new AppendingProcessor 'y'   to 'direct  aggregater'   from 'direct  z'  process new AppendingProcessor 'z'   to 'direct  aggregater'   from 'direct  aggregater'  aggregator header 'cheese'   new BodyAggregatingStrategy     completedPredicate header 'aggregated'  isEqualTo    to 'mock  result'  Now I send the message to endpoint 'direct  a' and I want to get the final result of the processors And this requirement is much like the CAMEL    
0;MulticastRecipientList  recipient list that uses multicast processor   ;Probably it would be useful to have recipientList that in InOut mode doesn't work as a pipeline  I faced that problem  however InOnly is ok  It seems in InOut it reminds of RoutingSlip  Optionally we could use MulticastProcessor to process 'recipients'  If you think it makes sense  attached patch enhances camelcore with such feature    
0;Remove tangle between impl and impl converter   ;Currently impl and impl converter reference each other  If possible such cycles should be avoided When I looked into it I found that impl converter references only a single class CachingInjector  No other class in camelcore seems to use this class  So my suggestion is to move CachingInjector to impl converter  So the cycle i removed  As far as I can see this should cause no ther issues    
0;Multithreaded HTTP invocations doesn't work   ;Description of the bug  http  www nabble comMultithreadedhttpendpointtos htmla   
0;DefaultParameterMappingStrategy doesn't load its defaults   ;This is preventing BeanProcessor from using bean methods with a Message parameter  or bean methods not named 'process' that have an Exchange as their parameter  For example  to map to a Message the it tries using the ParameterExpression bodyAs Message class  instead of inmessageExpression      
0;spring   jar is twice in the camel distro   ;I downloaded the latest snapshot apachecamel   zip fromhttp  people apache orgrepomsnapshotrepositoryorgapachecamelapachecamel SNAPSHOTThe  zip file contains spring   jar twicecamellibcamelliboptionalIs Spring both mandatory and optional?And btw it includes an old version of commonslogging   jar  v  of commons logging is out    
0;bad content length header value in http response   ;By default HttpBinding class copies all request header attributes from the request to the response including 'ContentLength'  So the consequence is that the response is declaring the same size as the request which can lead to serious truncation problems! the workaround is simply to add the line  out removeHeader 'ContentLength'   in the writeResponse method of the httpbinding class allowing jetty to set the right value    
0;Mail component is missing some configuration possibilities   ;It should be possible to configure the behaviour of the mail component  see thread   http  www nabble comProblemwithCamelMailComponentinRoutetds htmla   
0;Mina TCP does not support InOut pattern   ;See this thread  http  www nabble comcamelminaTCPInOutexchangetds htmlThis builder does not support InOut when a client send a textline to localhost   The client never receives a response url   'mina  tcp  localhost  ?textline true' from uri  process new Processor     public void process Exchange e    String in   e getIn   getBody String class    append newline at end to denote end of data for textline codec e getOut   setBody 'Hello ' + in + 'n'        Attached is a patch that fixes this by introducing a new parameter to the URL for fluent builder sync true  ie is there a better name? Using this url instead and the patch then Camel will send a response back to the client  mina  tcp  localhost  ?textline trueamp sync true   
0;Synchronous mode should handle exceptions being thrown from MINA   ;Camel MINA in synchronous mode  InOut exchange pattern  does not handle exception thrown from MINA  Currently MINA intercepts this and logs the exception at WARN level We should override the proper method in Mina and handle it so the end user can deal with it Also it has been raisen on the forum that it does not propogate header and other properties  This should be raised in another ticket In the weekend I will work on a patch for Camel to fix this problem    
0;camelmina   allowing the lazy creation of a connection   ;In the current implementation with a mina component producer if the server is not up when we start Camel it fails  This is because the mina session creation is in the doStart method which is called when Camel starts A simple solution is to optionally allow to lazily create the session just before sending the exchange in the Producer's process method    
0;camelcxf component can't deal with the exception message in MESSAGE dataFormat   ;From   Willem JiangTo   cameluser@activemq apache orgSubject   Re   camelcxf throwing a faultDate   Wed   Mar       +ReplyTo   cameluser@activemq apache orgHi Marc It looks like camelcxf component's issue which can't deal with the exception message in MESSAGE dataFormat Could you fill a JIRA for it ? I will fix it later this week As usual  you just need throw the exception from the processor   CXF will try to marshal it into a soap fault Regards WillemMarc Giger wrote  gt  Hi gt gt  I'm trying to get the following camel route working where thegt  dataformat is MESSAGE gt gt  lt from uri 'cxf  bean  routerEndpoint?dataFormat MESSAGE'gt  gt  lt process ref 'decryptProcessor'gt  gt  lt choicegt gt  lt whengt  gt  lt methodCall bean 'endpointSelector' method 'matches'gt gt  lt to uri 'cxf  bean  serviceEndpoint?dataFormat MESSAGE'gt  gt  lt whengt gt  lt otherwisegt  gt  lt to uri 'cxf  bean  localEndpoint?dataFormat MESSAGE'gt  gt  lt otherwisegt gt  lt choicegt  gt gt  if the endpointSelector bean returns true the request is redirected togt  a remote webservice gt  otherwise the request is forwarded to a local cxf service  withgt  localtransport gt gt  Now  if I invoke the routerEndpoint and somewhere in the pipelinegt  happens an exception  in my case in the decryptProcessor   I get thegt  following Exception in the outFault chain  gt gt  Mar         PM org apache cxf phase PhaseInterceptorChaingt  doIntercept INFO   Interceptor has thrown exception  unwinding nowgt  org apache cxf interceptor Faultgt  atgt  org apache camel component cxf interceptors RawMessageContentRedirectInterceptor handleMessage RawMessageContentRedirectInterceptor java   gt  atgt  org apache cxf phase PhaseInterceptorChain doIntercept PhaseInterceptorChain java   gt  atgt  org apache cxf interceptor OutgoingChainInterceptor handleMessage OutgoingChainInterceptor java   gt  atgt  org apache cxf phase PhaseInterceptorChain doIntercept PhaseInterceptorChain java   gt  atgt  org apache cxf transport ChainInitiationObserver onMessage ChainInitiationObserver java   gt  atgt  org apache cxf transport servlet ServletDestination doMessage ServletDestination java   gt  atgt  org apache cxf transport servlet ServletController invokeDestination ServletController java   gt  atgt  org apache cxf transport servlet ServletController invoke ServletController java   gt  atgt  org apache cxf transport servlet AbstractCXFServlet invoke AbstractCXFServlet java   gt  atgt  org apache cxf transport servlet AbstractCXFServlet doPost AbstractCXFServlet java   gt  at javax servlet http HttpServlet service HttpServlet java    atgt  javax servlet http HttpServlet service HttpServlet java    atgt  org mortbay jetty servlet ServletHolder handle ServletHolder java   gt  atgt  org mortbay jetty servlet ServletHandler handle ServletHandler java   gt  atgt  org mortbay jetty security SecurityHandler handle SecurityHandler java   gt  atgt  org mortbay jetty servlet SessionHandler handle SessionHandler java   gt  atgt  org mortbay jetty handler ContextHandler handle ContextHandler java   gt  atgt  org mortbay jetty webapp WebAppContext handle WebAppContext java   gt  atgt  org mortbay jetty handler ContextHandlerCollection handle ContextHandlerCollection java   gt  atgt  org mortbay jetty handler HandlerCollection handle HandlerCollection java   gt  atgt  org mortbay jetty handler HandlerWrapper handle HandlerWrapper java   gt  at org mortbay jetty Server handle Server java    atgt  org mortbay jetty HttpConnection handleRequest HttpConnection java   gt  atgt  org mortbay jetty HttpConnection$RequestHandler content HttpConnection java   gt  at org mortbay jetty HttpParser parseNext HttpParser java    atgt  org mortbay jetty HttpParser parseAvailable HttpParser java    atgt  org mortbay jetty HttpConnection handle HttpConnection java    atgt  org mortbay io nio SelectChannelEndPoint run SelectChannelEndPoint java   gt  atgt  org mortbay thread BoundedThreadPool$PoolThread run BoundedThreadPool java   gt  Caused by   java lang NullPointerException atgt  org apache commons io IOUtils copyLarge IOUtils java    atgt  org apache commons io IOUtils copy IOUtils java    atgt  org apache camel component cxf interceptors RawMessageContentRedirectInterceptor handleMessage RawMessageContentRedirectInterceptor java       gt   moregt gt  This is because the InputStream is null ingt  RawMessageContentRedirectInterceptor  gt gt  public void handleMessage Message message  throws Fault  gt gt  InputStream is   message getContent InputStream class  gt  OutputStream os   message getContent OutputStream class  gt  gt  try   gt  IOUtils copy is  os  gt  is close   gt  os flush   gt    catch  Exception e   gt  throw new Fault e  gt   gt   gt gt  How can I return a custom soapfault in a processorfilter?gt gt  Thanks gt gt  Marcgt gt    
0;SftpConsumer is not connecting and retrieving remote files   ;SftpConsumer does not connect to server due to patch for CAMEL  The SftpConsumer also checks remote file modification timestamp against last poll timestamp but incorrectly converts seconds to milliseconds using integer math so the resulting conversion is always negative and will never retrieve file  I will attach the fixes to this issue    
0;Mina Producer should have configurable timeout   ;Currently the camel mina producer  MinaProducer  defaults to have a  sec timeout This is currently not possible to configured eg from the URL parameters etc Also we should documented on the wiki that  sec  is default    
0;HttpBinding writeResponse doesn't set the response status code  i e  it's always     ;When writing out an Http response  the HttpBinding should check for the existing of the header HttpProducer HTTP_RESPONSE_CODE and set it in the response if it's there  This allows requests made via the http component to be output with the correct status code info  If also allows processors in the flow to control the status code by setting the header themselves    
0;camelmina improvements   ;This ticket holds reference to the various camelmina improvments and bugfixes lately    
0;Support for a full customized soapfault incl  faultcode and detail   ;Don't wrap a Fault in a Fault    
0;Parallel processing route   ;Adding the support of this user story CXF Consumer gt  Route gt  parallelly send messages and recieve responsesgt  aggregate response gt  further process gt  returnHere is more information about this story   http  www nabble comParallelprocessingroutetd htmla   
0;Improve logging for camelmina   ;Currently camelmina does not log using similar log classnames for a MinaProducer and MinaConsumer  This can be a bit misleading in the log files MinaConsumer uses an anonymous inner class to do the IoHandler where as MinaProducer does not  This renders the loglines such asMinaConsumer$  XXXMinaProducer$RecieveHandler  XXXMinaConsumer should use a non anonymous inner classes so logging is the same  MinaConsumer$RecieveHandler  XXXMinaProducer$ResponseHandler  XXX   
0;MinaProducer waits for MINA worker thread to timeout when stopping JVM from standalone client   ;I was working on a camelminaexample sample that starts a MinaProducer to send data to a TCP server  When my sample terminates the JVM it waits  seconds until the MINA worker threads times out  default  sec  As a workaround using System exit   will terminate my client JVM immediately  And running my client as a JUnit tests will also in fact terminate the JVM immediately The code below demonstrates this   Running as JUnit runs within a few seconds  Run it as a standard java main app and it terminates after + secondsThe code is a test I am working on for the patch to fix it   I got it fixed but I want a better unit test public class MinaProducerTest extends ContextTestSupport   public static void main String[] args  throws Exception   MinaProducerTest test   new MinaProducerTest    test producerRunningFromMain      private void producerRunningFromMain   throws Exception   long start   System currentTimeMillis    System out println '+++ start +++'   context   new DefaultCamelContext    context addRoutes createRouteBuilder     context start    testProducer    context stop    System out println '+++ stop +++'   long end   System currentTimeMillis    assertTrue 'Should stop within  seconds'  end  start lt      TODO   add shutdown hook to verify that its stopped before  seconds  or mocks    private static final String uri   'mina  tcp  localhost  ?textline true'  protected RouteBuilder createRouteBuilder     return new RouteBuilder     public void configure     from uri  to 'mock  result'          public void testProducer   throws Exception   MockEndpoint mock   getMockEndpoint 'mock  result'   mock expectedBodiesReceived 'Hello World'   Endpoint endpoint   context getEndpoint uri   Producer producer   endpoint createProducer    Exchange exchange   endpoint createExchange    exchange getIn   setBody 'Hello World'   producer start    producer process exchange   producer stop    assertMockEndpointsSatisifed       TODO   Test using mocks requires many codelines to mock all the producer  endpoints etc     
0;Javadoc warnings   ;Get the javadoc warnings reported by the javadoc generator fixed    
0;Exception handling of the ErrorHandlerSupport class   ;When you configure your route builder and say you want to configure two exceptions lets say   NullPointer and Exception  Now say the bean you call as your end point throws a NullPointer  wouldn't you think the NullPointer policy would handle that exception? Well I'm seeing sometimes it does and sometimes it doesn't due to the map not keeping the exceptions in any particular order  Is there anyway this could be changed to a LinkedHashMap or a List?Issue with class   org apache camel processor ErrorHandlerSupport   
0;Improve FTP component wiki documentation   ;The wiki documentation for FTP usage could be improved with   java code examples  snippets in unit test classes  that you need the convertTo String class  for ASCII file transfer The FTP component is an extension of the File component so it inherits behaviour  features and options from file  State precise witch options a FTPProducer and FTPConsuer can use  Consuming using FTP there are special header keyvalues for the remote filename etc  that could be of interest for the end users  Maybe for the producer as well    
0;splitter   should have the same parallel processing functionality that multicast   has   ;Ability to havefrom 'direct  parallel'  splitter body   tokenize ' '   true  to 'mock  result'  where true parameter to splitter should behave like in multicast     processing is done in separate threads for each 'part'    
0;Improve File component wiki   ;I have added two missings options and then I discovered a few more missing so I am created this ticket so we get this done The File Component has several options we haven't documented on the wiki yet Also its javadoc should be improved And we should provide some better java samples on the wiki    
0;Upgraded to OpenJPA      ;OpenJPA in release   and onwards requires a change in the ant build in the pom xmlIt now requires a persistance xml file to use    
0;Invalid jar in binary distribution   ;The apachecamel jar in the binary distribution misses a lot of files  including class and schema files  k in size compared to the  M released jar     
0;Camel should raise an exception if parsing of xslt file fails   ;Consider a Camel route that involves an xslt component  When Camel sets up the route  the XsltBuilder ignores any errors coming from the xerces xml parser and continues constructing the route even though the xslt transformer is not initialized  Later when the route is executed Camel correctly checks if the transformer is initialized and raises an error if not  java lang IllegalArgumentException   No transformer configured!However in case of a parse error in the xslt file  the whole route becomes unusable and the setup routine that constructs the route should fail with an appropriate error message  A sanity check needs to be added in methodorg apache camel builder xml XsltBuilder setTransformerSource javax xml transform Source     
0;file endpoint with noop true does not detect old files moved into a directory   ;   
0;camelcore does not compile on HPUX   ;camelcoresrcmainjavaorgapachecamelmodelProcessorType java      inconvertible types found    org apache camel model ProcessorTypelt Typegt  required   org apache camel model InterceptTypecamelcoresrcmainjavaorgapachecamelmodelProcessorType java      inconvertible types found    org apache camel model ProcessorTypelt Typegt  required   org apache camel model InterceptTypecamelcoresrcmainjavaorgapachecamelmodelProcessorType java      inconvertible types found    org apache camel model ProcessorTypelt Typegt  required   org apache camel model InterceptTypecamelcoresrcmainjavaorgapachecamelmodelProcessorType java      inconvertible types found    org apache camel model ProcessorTypelt Typegt  required   org apache camel model InterceptType   
0;make it easier to create Endpoint instances nicely via Spring XML   ;right now its a bit tricky creating Endpoint instances in a spring XML using the lt beangt lt propertygt  mechanism It'd be nice to be able to configure them more easily as   lt bean id 'foo' class 'org apache camel component file FileEndpoint'gt  lt property name 'foo' value 'bar'gt     type stuff and have folks Spring IDE's smart complete stuff etc   
0;JMX Connector is not closed by InstrumentationAgentImpl doStop     ;   
0;Document  File component when its using file or directory names   ;Yes I think we need to document it much better how Camel handles this filefolder stuff when its consuming files producing filesIt's a bit confusing when Camel uses the unique message id for filename instead of the path from the URI    
0;Javadoc  improve summaries etc   ;The javadoc could use to be polished for eg  summaries statis the Apache license instead of a short brief summary what the classpackage does etc It's all the javadoc also for the components    
0;IntrumentationProcessor does properly record processing time   ;The InstrumentationLifeCycleStrategy inserts an InstrumentationProcessor interceptor at the end of a route which is intercepted after the processing has been done  The InstrumentationProcessor does not actually record the time spent on the route  It is fixed by inserting InstrumentationProcessor at the beginning of the route and wrapping all the outputs There two MBeans  ManagedRoute and PerformanceCounter  registered for each route eventhough ManagedRoute already extends PerformanceCounter  We probably only need to expose one MBean  The ManagedRoute MBean shows performance attributes and operations  since it extends PerformanceCoutner  but these performance related stuffs don't really work  This is fixed by registering only the ManagedRoute MBean and making the performance related attributes and operations functional This patch supports exposing all processors within a route as PerformanceCounter MBeans so that users are possible to monitor performance at the processor's level With this patch  the org apache camel spi package no longer depends CamelNamingStrategy of the org apache camel management management package  It follows the suggestion mentioned in https  issues apache orgactivemqbrowseCAMEL Another update is to following the JMX spec convention of including a 'type' property in the ObjectName  replacing the current 'groups' property   This patch also simplify the ManagedRoute's ObjectName a bit by removing builder and group properties  If for some reasons  they need to be in the ObjectName  please add them back    
0;camelcxf component not propagating context data   ;For POJO data formats the CxfProducer currently invokes the following method to invoke on a target serverresult   client invoke operation  parameters toArray    This fails to setup the Request and Response contexts for the out  request  message and in  response  message  It should instead be copying the relevant data from the consumer and invoking the following operation on the Client interfaceObject[] invoke BindingOperationInfo oi  Object[] params  Maplt String  Objectgt  context  throws Exception Likewise the PAYLOAD and MESSAGE data formats are not setting up their contexts before they call the dispatch operation  In fact there is comments in the current codebase     invoke the message prepare the context Maplt String  Objectgt  context   new HashMaplt String  Objectgt     Maplt String  Objectgt  requestContext   new HashMaplt String  Objectgt     Maplt String  Objectgt  responseContext   new HashMaplt String  Objectgt      TODO Get the requestContext from the CamelExchange context put CxfClient REQUEST_CONTEXT  requestContext   context put CxfClient RESPONSE_CONTEXT  responseContext  The fix should also include a fix for all three data format types   
0;XsltBuilder synchronizes on process method making performance bad on XSLTs   ;In heavy load environment XSLT transformations have very bad performance I propose to use javax xml transform Templates object to produce separate Transformers for every execution    
0;The spi package should not depend on the processor package   ;I have found one other problem in RouteContext  The method intercept uses the class Interceptor from processor  I think Interceptor should be an interface that should reside in spi or camel  So we could avoid referencing the processor package from spi When I look into the current Interceptor implementation I think the two main methods that need to be in the interface are process and proceed  Process can be inherited from Processor but proceed is only declared in the implementation class DelegateProcessor  So I think the clean way to handle this would be to create an interface DelegateProcessor and a spearate DefaultDelegateProcessor public interface DelegateProcessor extends Processor   ** * Proceed with the underlying delegated processor * public abstract void proceed Exchange exchange  throws Exception   and an interface Interceptorpublic interface Interceptor extends DelegateProcessor   public abstract void process Exchange exchange  throws Exception  public abstract Processor getInterceptorLogic    public abstract void setInterceptorLogic Processor interceptorLogic    When we put these to spi and use them instead of the implementations where possible the spi would not depend on processor anymore    
0;NPE from came  run with below route codes   ;With the following route   from 'timer  tutorial?fixedRate trueamp period '   setBody  constant 'lt ?xml version ' ' encoding 'UTF'?gt lt greetMegt Hello Worldlt greetMegt '    setHeader 'CBR'  constant 'No'   choice   when  header 'CBR'  isEqualTo 'Yes'   setHeader  'CreditcardValidation'  constant 'Yes'   to  'log  CBRBean?level INFO'  to 'log  XSLT for provider?level INFO'   when header 'CBR'  isEqualTo 'No'   setHeader  'CreditcardValidation'  constant 'No'   to  'log  XSLT for provider?level INFO'  end   choice    when header 'CreditcardValidation'  isEqualTo 'Yes'    to 'log  CCVBean?level INFO'  to 'log  XSLT for consumer?level INFO'  when  header 'CreditcardValidation'  isEqualTo 'No'    to 'log  XSLT for consumer?level INFO'  otherwise    to 'log  test?level INFO'  end   running mvn camel  run I get the following stack trace  java lang NullPointerException at org apache camel view NodeData lt initgt  NodeData java    at org apache camel view GraphGeneratorSupport getNodeData GraphGeneratorSupport java    at org apache camel view RouteDotGenerator printNode RouteDotGenerator java    at org apache camel view RouteDotGenerator printNode RouteDotGenerator java    at org apache camel view RouteDotGenerator printRoute RouteDotGenerator java    at org apache camel view RouteDotGenerator printRoutes RouteDotGenerator java    at org apache camel view RouteDotGenerator printRoutes RouteDotGenerator java    at org apache camel view RouteDotGenerator generateFile RouteDotGenerator java    at org apache camel view GraphGeneratorSupport generateFile GraphGeneratorSupport java    at org apache camel view GraphGeneratorSupport drawRoutes GraphGeneratorSupport java    at org apache camel spring Main generateDot Main java    at org apache camel spring Main postProcessContext Main java    at org apache camel spring Main doStart Main java    at org apache camel impl ServiceSupport start ServiceSupport java    at org apache camel spring Main run Main java    at org apache camel spring Main run Main java    at org apache camel spring Main main Main java    at sun reflect NativeMethodAccessorImpl invoke Native Method  at sun reflect NativeMethodAccessorImpl invoke NativeMethodAccessorImpl java    at sun reflect DelegatingMethodAccessorImpl invoke DelegatingMethodAccessorImpl java    at java lang reflect Method invoke Method java    at org apache camel maven RunMojo$ run RunMojo java    at java lang Thread run Thread java   the error seems related to the maven camel plugin failing generating the dot file for the route    
0;File component  noop does not lock the file during processing   ;The noop true option does not lock the file during processing as it states in its class javadoc  The parameter is false  It should be true instead  public NoOpFileProcessStrategy     super false       
0;camelspring is dependent on springaop   ;lt dependencygt  lt groupIdgt org springframeworklt groupIdgt  lt artifactIdgt springaoplt artifactIdgt  lt versiongt $ springversion lt versiongt  lt dependencygt is needed in pom xml for camelspring as its needed to let camelspring component work outofthebox  Without it the camelexamplespring does not work and blows up with a ClassNotFoundException when you use camel  run   
0;Multicast default excecutor do not create the enough thread for parallel processing   ;When I added the loan broker example CAMEL  I found there is no performance improvement when using the parallelly mulitcast After digging into to code  I found we should create the enough thread for the parallel processing    
0;CamelTemplate should clear endpoint cache when stopping   ;Only the producer cache is stopped and cleared  start and stop in camel template protected void doStart   throws Exception   producerCache start      protected void doStop   throws Exception   producerCache stop       stop in producer cache protected void doStop   throws Exception   ServiceHelper stopServices producers values     producers clear        
0;JMX Instrumentation  PerformanceCounter  total processed   ;William Tam  this one is for you The total processed time is not exposed to as a managed attribute  And it should be changed from double to long    
0;[patch] Make sure streams get closed   ;a couple places streams are opened and are not closed  patch fixes this    
0;Missing compile step in example readmes   ;I noticed that some examples that are run via mvn exec  java require that the example be compiled first  I've updated the readmes to include this step      
0;[patch] postpone creating browsing strategy until and only if its needed   ;code creates queue browsing strategy even if not needed  patch pushes creation down to relevant branch    
0;Change the JMX default connetor's URL to avoid the confilict with the ActiveMQ or ServiceMix JMX default connector   ;Since the Camel default JMX connector's URL is same with ActiveMQ and ServiceMix default JMX Connector URL  we need to change it to avoid the conflict    
0;Headers should be modifiable using velocity templates   ;See context at  http  www nabble comExchangeheadersinvelocitytds html   
